,Name,Rating,Headquarters,Reviews
0,TCS,3.3,IT Services & Consulting | Bengaluru +446 other locations,(1.2L)
1,Accenture,3.7,IT Services & Consulting | Bengaluru +261 other locations,(74.6k)
2,Wipro,3.6,IT Services & Consulting | Hyderabad +375 other locations,(65.9k)
3,Cognizant,3.7,IT Services & Consulting | Hyderabad +233 other locations,(62.2k)
4,Capgemini,3.6,IT Services & Consulting | Bengaluru +185 other locations,(54.2k)
5,HDFC Bank,3.8,Banking | Mumbai +1858 other locations,(53.3k)
6,Infosys,3.5,IT Services & Consulting | Bengaluru +247 other locations,(49.5k)
7,HCLTech,3.4,IT Services & Consulting | Chennai +231 other locations,(46.6k)
8,ICICI Bank,3.9,Banking | Mumbai +1446 other locations,(46.4k)
9,Tech Mahindra,3.3,IT Services & Consulting | Hyderabad +323 other locations,(43.9k)
10,Genpact,3.6,Analytics & KPO | Hyderabad +181 other locations,(43k)
11,TP,3.9,BPO | Mumbai +257 other locations,(39.2k)
12,Jio,4.4,Telecom | Mumbai +1964 other locations,(33.9k)
13,Axis Bank,3.6,Banking | Mumbai +1529 other locations,(33.8k)
14,Concentrix Corporation,3.6,BPO | Bengaluru +185 other locations,(32.7k)
15,Amazon,3.9,Internet | Bengaluru +519 other locations,(31.9k)
16,Reliance Retail,3.9,Retail | Mumbai +1166 other locations,(27.6k)
17,iEnergizer,4.6,BPO | Noida +53 other locations,(27.3k)
18,LTIMindtree,3.6,IT Services & Consulting | Bengaluru +145 other locations,(26.8k)
19,HDB Financial Services,3.9,NBFC | Mumbai +1098 other locations,(26.1k)
